Timestamp,BMW_M47_RAIL_PRESSURE,BMW_M47_BOOST_PRESSURE,BMW_M47_CALCULATED_LOAD,BMW_RAIL_PRESSURE,BMW_BOOST_PRESSURE_GAUGE,BMW_MAF_GRAMS,BMW_TORQUE_ACTUAL
13:14:23,92,71,76,27,46,75,79
13:14:23,9,35,12,100,46,92,11
13:14:24,45,6,33,7,96,78,47
13:14:24,34,25,71,39,86,98,30
13:14:24,0,56,66,62,93,44,45
13:14:24,96,85,59,68,30,88,44
13:14:24,87,5,23,36,13,54,34
13:14:24,82,26,61,28,98,11,99
13:14:24,61,36,68,86,7,78,57
13:14:24,36,3,93,7,6,81,99
13:14:24,28,50,56,39,56,3,64
13:14:25,86,19,6,9,61,57,51
13:14:25,74,78,79,16,87,82,26
13:14:25,20,19,66,63,68,75,86
13:14:25,11,14,11,0,88,93,74
13:14:25,77,12,31,66,56,62,31
13:14:25,27,42,35,75,56,96,11
13:14:25,86,75,32,60,96,24,35
13:14:25,69,3,97,70,13,66,15
13:14:26,100,76,76,61,19,7,88
13:14:26,58,99,72,39,18,64,61
13:14:26,37,3,92,51,79,71,21
13:14:26,33,34,66,94,88,20,52
13:14:26,94,56,76,57,85,79,49
13:14:26,13,87,60,34,86,96,4
13:14:26,66,73,46,97,80,5,83
13:14:26,3,69,11,69,3,88,34
13:14:26,19,75,8,36,8,95,79
13:14:27,60,17,69,4,52,10,12
13:14:27,92,0,58,76,16,48,55
13:14:27,31,62,50,20,77,25,53
13:14:27,74,53,53,81,59,14,24
13:14:27,61,18,21,78,22,82,21
13:14:27,68,20,86,97,18,68,33
13:14:27,20,83,73,34,50,19,60
13:14:27,82,21,6,25,92,85,13
13:14:27,21,45,16,48,33,56,77
13:14:28,88,50,64,5,25,13,33
13:14:28,98,14,3,91,37,57,19
13:14:28,39,30,33,24,7,21,36
13:14:28,98,6,6,45,100,45,34
13:14:28,63,7,79,1,75,42,16
13:14:28,69,10,78,56,39,64,87
13:14:28,94,18,97,21,57,45,12
13:14:28,69,86,75,35,55,65,49
13:14:28,6,43,12,19,59,90,76
13:14:29,79,29,74,28,89,42,45
13:14:29,98,16,32,11,58,87,65
13:14:29,40,12,75,13,8,78,75
13:14:29,46,82,28,83,41,25,68
13:14:29,83,60,64,54,89,39,51
13:14:29,16,32,37,34,85,70,48
13:14:29,38,98,15,3,91,70,74
13:14:29,88,29,71,15,26,4,79
13:14:30,52,51,24,52,100,83,42
13:14:30,95,93,88,69,99,34,41
13:14:30,20,64,11,15,92,64,82
13:14:30,39,32,0,31,2,50,24
13:14:30,26,73,37,73,81,43,12
13:14:30,98,33,60,5,90,81,17
13:14:30,44,79,56,41,81,8,2
13:14:30,47,96,38,77,38,46,65
13:14:30,45,26,51,12,92,48,83
13:14:31,97,21,7,54,66,69,2
13:14:31,99,67,100,30,19,22,13
13:14:31,31,72,86,28,40,79,30
13:14:31,9,12,20,20,43,38,28
13:14:31,32,85,75,96,45,71,70
13:14:31,41,46,21,65,63,45,62
13:14:31,1,84,87,19,46,6,88
13:14:31,52,25,54,45,87,76,94
13:14:31,9,15,23,47,86,70,6
13:14:32,93,93,50,43,96,50,66
13:14:32,69,56,51,86,83,59,97
13:14:32,10,40,66,16,34,5,44
13:14:32,69,54,48,61,71,0,20
13:14:32,6,45,99,60,79,36,30
13:14:32,59,71,88,3,10,97,100
13:14:32,78,37,61,3,27,99,95
13:14:32,86,92,46,7,82,29,59
13:14:32,36,54,54,48,14,41,85
13:14:33,21,38,46,43,40,97,50
13:14:33,0,79,21,21,46,26,35
13:14:33,91,79,24,17,48,74,90
13:14:33,96,99,83,51,22,25,21
13:14:33,13,90,43,57,81,100,91
13:14:33,50,6,24,63,34,69,68
13:14:33,23,49,72,81,57,70,40
13:14:33,19,91,1,54,65,64,74
13:14:34,99,86,80,1,97,74,38
13:14:34,22,71,67,83,5,30,58
13:14:34,96,31,61,98,78,57,89
13:14:34,8,79,66,27,42,73,57
13:14:34,45,90,96,14,51,62,43
13:14:34,88,69,58,12,48,3,100
13:14:34,27,77,62,61,25,11,50
13:14:34,15,42,13,75,93,63,83
13:14:34,42,98,50,6,57,72,8
13:14:35,100,90,44,18,85,74,75
13:14:35,40,2,26,51,81,10,20
13:14:35,33,36,50,41,15,60,41
13:14:35,48,75,11,27,36,59,80
13:14:35,28,77,29,13,5,30,0
13:14:35,74,81,30,82,7,4,10
13:14:35,48,85,87,73,6,87,24
13:14:35,67,2,42,55,16,28,5
13:14:35,18,23,36,95,28,15,33
13:14:36,6,95,9,6,76,10,17
13:14:36,50,28,81,69,76,86,39
13:14:36,98,32,96,41,9,61,52
13:14:36,14,14,87,45,79,91,16
13:14:36,6,68,82,0,4,68,67
13:14:36,88,96,8,71,1,27,12
13:14:36,25,7,60,44,96,21,71
13:14:36,49,10,57,4,87,26,20
13:14:36,61,23,58,74,12,78,70
13:14:37,16,57,10,29,40,61,85
13:14:37,75,78,32,16,35,94,61
13:14:37,19,17,11,0,54,56,56
13:14:37,60,3,10,74,43,63,10
13:14:37,46,15,84,78,37,17,56
13:14:37,73,76,3,31,37,81,52
13:14:37,94,40,4,72,26,69,26
13:14:37,52,17,16,22,44,36,83
13:14:37,65,92,100,61,72,50,8
13:14:38,15,2,56,61,13,68,79
13:14:38,20,72,61,45,46,97,88
13:14:38,45,32,8,61,18,94,28
13:14:38,31,26,74,5,70,86,21
13:14:38,26,11,83,95,46,46,60
13:14:38,85,4,60,72,57,19,6
13:14:38,24,100,67,9,63,57,66
13:14:38,17,66,81,39,71,92,24
13:14:38,93,89,75,15,79,20,53
13:14:39,92,74,16,11,76,43,2
13:14:39,50,71,1,36,29,87,44
13:14:39,48,92,7,93,14,48,98
13:14:39,41,40,86,59,8,6,37
13:14:39,0,48,32,77,11,59,82
13:14:39,25,85,14,99,94,41,96
13:14:39,70,19,79,69,12,76,26
13:14:39,42,63,87,80,23,92,87
13:14:40,19,36,71,64,3,43,17
13:14:40,42,2,70,26,34,58,69
13:14:40,7,13,81,52,45,90,2
13:14:40,14,2,7,52,19,42,7
13:14:40,47,63,65,49,35,92,24
13:14:40,25,35,13,91,33,31,74
13:14:40,61,25,25,66,65,75,99
13:14:40,93,45,38,87,24,10,18
13:14:40,83,24,55,64,84,0,33
13:14:41,44,90,0,35,69,60,66
13:14:41,10,42,65,10,90,41,46
13:14:41,80,65,43,17,31,41,66
13:14:41,9,17,36,34,67,6,82
13:14:41,5,88,28,49,0,64,40
13:14:41,83,45,26,61,52,25,21
13:14:41,79,39,64,7,61,57,63
13:14:41,24,81,18,92,73,10,8
13:14:41,20,14,26,45,97,96,39
13:14:42,2,34,81,74,37,84,80
13:14:42,63,82,75,49,93,72,5
13:14:42,55,66,6,21,57,85,18
13:14:42,25,26,47,22,67,85,83
13:14:42,42,13,39,61,30,29,100
13:14:42,87,12,13,17,61,56,64
13:14:42,8,62,68,19,8,96,10
13:14:42,84,67,90,44,42,52,99
13:14:43,28,48,90,45,28,67,45
13:14:43,29,88,29,55,35,23,22
13:14:43,28,17,58,1,5,40,69
13:14:43,82,95,95,11,63,42,61
13:14:43,82,63,29,88,95,35,89
13:14:43,96,19,26,5,99,17,10
13:14:43,43,83,2,27,42,95,85
13:14:43,37,55,48,78,85,64,47
13:14:43,62,24,21,59,68,66,21
13:14:44,70,32,33,42,98,70,81
13:14:44,64,10,3,11,77,85,36
13:14:44,1,72,25,77,1,52,2
13:14:44,60,55,25,1,42,19,11
13:14:44,41,14,99,23,51,89,58
13:14:44,92,46,63,14,80,67,84
13:14:44,16,43,4,33,59,76,91
13:14:44,93,37,50,73,46,72,78
13:14:44,41,73,78,79,27,45,5
13:14:45,44,100,2,12,18,97,95
13:14:45,20,0,15,66,72,66,18
13:14:45,66,37,53,95,50,79,32
13:14:45,32,74,54,24,49,40,94
13:14:45,88,95,73,53,80,88,92
13:14:45,90,68,17,86,34,24,51
13:14:45,12,47,72,51,15,76,8
13:14:45,59,45,65,25,33,7,32
13:14:46,76,73,53,62,87,13,76
13:14:46,43,61,11,64,53,20,58
13:14:46,64,98,4,34,11,30,26
13:14:46,32,11,50,58,1,24,0
13:14:46,77,81,59,11,69,26,54
13:14:46,76,84,4,33,62,17,95
13:14:46,54,58,42,49,74,66,5
13:14:46,52,9,74,6,46,97,33
13:14:46,66,71,39,82,70,64,73
13:14:47,79,6,3,50,99,18,79
13:14:47,73,9,58,1,22,85,33
13:14:47,1,28,58,77,64,68,83
13:14:47,17,22,3,47,53,57,43
13:14:47,25,50,63,52,43,75,81
13:14:47,0,31,65,56,94,90,38
13:14:47,46,6,64,43,10,41,6
13:14:47,77,84,99,67,57,80,74
13:14:47,15,97,97,99,2,38,78
13:14:48,73,8,16,56,71,42,100
13:14:48,15,65,8,80,6,69,17
13:14:48,8,77,2,99,60,83,78
13:14:48,98,96,13,70,53,25,50
13:14:48,99,40,2,71,90,72,91
13:14:48,46,38,35,85,31,99,94
13:14:48,35,14,32,87,31,31,0
13:14:48,5,6,44,40,55,46,30
13:14:49,80,2,44,59,89,27,5
13:14:49,15,5,0,7,74,7,67
13:14:49,13,100,81,65,94,66,83
13:14:49,31,81,88,73,31,81,7
13:14:49,94,30,100,64,70,38,19
13:14:49,71,6,57,33,24,40,29
13:14:49,28,31,36,49,27,54,39
13:14:49,39,63,94,66,48,99,81
13:14:49,14,14,62,70,16,84,83
13:14:50,75,42,86,10,58,57,16
13:14:50,30,95,57,22,4,21,54
13:14:50,74,81,27,5,73,77,54
13:14:50,64,100,79,13,13,7,91
13:14:50,91,48,13,91,85,25,90
13:14:50,29,95,95,43,52,48,33
13:14:50,4,18,13,68,92,16,59
13:14:50,86,72,94,9,44,6,23
13:14:50,85,58,3,42,69,91,64
13:14:51,62,16,0,36,100,37,98
13:14:51,98,80,36,38,20,2,51
13:14:51,81,57,42,35,0,58,46
13:14:51,2,76,9,7,18,81,73
13:14:51,15,97,60,26,98,26,56
13:14:51,58,59,65,36,79,14,1
13:14:51,20,95,46,17,46,13,53
13:14:51,8,81,39,72,99,41,8
13:14:51,34,85,74,56,100,66,82
13:14:52,87,78,72,57,88,37,14
13:14:52,44,4,6,69,88,62,23
13:14:52,9,95,16,50,52,40,72
13:14:52,16,33,88,80,93,93,57
13:14:52,13,10,30,2,48,28,85
13:14:52,89,20,28,61,59,35,11
13:14:52,44,89,51,19,60,9,28
13:14:52,4,36,76,1,90,97,74
13:14:53,20,14,35,78,36,67,19
13:14:53,86,76,92,43,100,16,74
13:14:53,83,64,66,39,29,75,76
13:14:53,26,14,86,16,42,19,55
13:14:53,77,3,76,76,40,76,93
13:14:53,26,61,23,99,53,67,2
13:14:53,67,69,48,90,18,23,21
13:14:53,6,34,3,12,41,75,37
13:14:53,47,11,55,66,72,56,42
13:14:54,59,81,79,60,26,18,35
13:14:54,94,90,10,80,100,26,62
13:14:54,39,87,20,86,2,51,89
13:14:54,22,59,75,57,78,83,67
13:14:54,35,34,39,98,66,84,37
13:14:54,36,74,7,38,2,83,36
13:14:54,43,86,59,20,33,60,53
13:14:54,0,6,30,88,31,46,75
13:14:54,87,47,58,96,94,12,52
13:14:55,48,89,27,26,73,57,34
13:14:55,18,40,100,23,99,94,44
13:14:55,72,62,34,80,5,56,54
13:14:55,52,43,55,68,92,61,60
13:14:55,20,52,95,18,6,95,72
13:14:55,43,20,19,93,63,36,99
13:14:55,0,19,25,4,2,78,53
13:14:55,84,62,90,65,99,51,6
13:14:55,100,13,33,24,19,37,43
13:14:56,100,87,64,73,79,96,15
13:14:56,23,82,26,0,54,18,73
13:14:56,48,5,42,31,48,64,59
13:14:56,91,51,69,77,56,68,27
13:14:56,66,43,76,98,83,59,56
13:14:56,85,43,0,62,1,18,39
13:14:56,36,71,76,52,34,36,12
13:14:56,92,21,86,70,7,43,15
13:14:56,14,95,85,86,100,68,80
13:14:57,10,94,23,66,94,75,11
13:14:57,47,20,8,54,80,16,63
13:14:57,21,84,56,25,83,3,61
13:14:57,73,42,6,48,30,67,65
13:14:57,91,46,70,77,63,14,44
13:14:57,53,82,37,88,40,44,74
13:14:57,41,20,65,68,11,41,50
13:14:57,15,88,89,1,39,48,91
13:14:58,43,9,41,21,52,16,92
13:14:58,25,78,31,31,52,43,17
13:14:58,34,47,39,15,37,97,84
13:14:58,87,1,64,32,21,52,98
13:14:58,42,43,37,53,93,54,63
13:14:58,10,97,54,66,88,7,57
13:14:58,92,65,16,78,72,35,33
13:14:58,76,18,86,12,20,63,8
13:14:58,65,32,76,1,73,79,89
13:14:59,29,84,19,82,83,42,99
13:14:59,78,19,49,58,71,99,83
13:14:59,74,61,29,78,42,29,19
13:14:59,36,86,54,33,83,23,16
13:14:59,25,76,62,73,45,72,23
13:14:59,96,40,91,10,58,66,4
13:14:59,62,95,19,58,44,98,64
13:14:59,79,3,8,85,78,49,31
13:14:59,83,38,90,13,93,68,77
13:15:00,30,60,74,83,62,53,35
13:15:00,17,57,11,84,20,50,57
13:15:00,61,90,67,47,61,50,43
13:15:00,36,68,43,60,22,23,88
13:15:00,3,13,50,59,72,76,20
13:15:00,72,43,29,5,12,79,25
13:15:00,51,97,64,96,100,1,75
13:15:00,77,93,72,67,88,31,30
13:15:00,28,84,58,36,4,54,81
13:15:01,5,2,8,88,20,94,13
13:15:01,22,92,96,17,7,81,98
13:15:01,79,43,26,60,93,7,92
13:15:01,26,99,12,37,46,6,94
13:15:01,22,50,9,1,27,42,63
13:15:01,65,16,48,36,79,73,94
13:15:01,15,86,100,66,4,80,1
13:15:01,37,72,17,88,57,36,59
13:15:01,18,90,14,79,62,63,90
13:15:02,32,24,31,44,51,16,63
13:15:02,39,97,10,13,1,79,8
13:15:02,43,38,31,14,51,91,52
13:15:02,16,86,97,47,75,15,96
13:15:02,1,60,61,26,49,89,74
13:15:02,64,60,76,48,54,10,93
13:15:02,47,37,78,61,18,84,89
13:15:02,25,85,50,47,55,100,60
13:15:02,23,7,30,27,32,33,79
13:15:03,100,38,76,19,87,15,59
13:15:03,64,73,78,11,61,9,36
13:15:03,38,22,19,68,57,21,54
13:15:03,40,56,97,70,75,14,32
13:15:03,40,86,15,30,7,82,98
13:15:03,41,30,7,63,95,44,36
13:15:03,28,56,71,7,61,5,22
13:15:03,33,70,27,89,22,17,17
13:15:04,40,68,93,74,39,87,78
13:15:04,51,99,4,11,72,26,28
13:15:04,88,13,13,91,94,40,29
13:15:04,0,75,60,79,16,96,10
13:15:04,96,18,87,12,30,16,78
13:15:04,88,28,21,84,58,53,83
13:15:04,32,50,83,41,55,18,31
13:15:04,11,68,10,89,7,38,90
13:15:04,7,0,57,53,33,39,93
13:15:05,2,49,96,7,77,92,71
13:15:05,40,74,98,21,10,26,35
13:15:05,68,34,80,17,43,26,16
13:15:05,67,59,34,22,94,60,15
13:15:05,92,49,79,79,73,27,3
13:15:05,57,35,68,31,21,14,63
13:15:05,7,43,96,1,75,8,24
13:15:05,86,100,15,39,37,56,38
13:15:05,93,99,12,40,14,84,42
13:15:06,91,38,14,71,53,32,31
13:15:06,74,6,68,15,35,44,57
13:15:06,12,69,32,100,19,55,77
13:15:06,12,29,100,45,50,41,98
13:15:06,99,31,3,39,79,90,15
13:15:06,12,90,70,80,75,34,49
13:15:06,59,33,41,72,43,52,41
13:15:06,94,13,100,6,21,34,27
13:15:06,92,8,81,50,84,15,31
13:15:07,100,39,58,12,75,99,14
13:15:07,84,14,31,89,15,68,93
13:15:07,12,19,31,2,26,61,23
13:15:07,4,87,63,95,58,22,27
13:15:07,34,35,26,95,46,83,12
13:15:07,45,28,45,74,98,99,69
13:15:07,5,99,2,62,46,88,30
13:15:07,25,58,71,15,70,48,100
13:15:08,50,10,76,49,58,91,87
13:15:08,42,20,83,35,36,86,14
13:15:08,44,1,49,77,91,16,62
13:15:08,86,69,19,81,40,30,82
13:15:08,96,59,94,2,49,40,12
13:15:08,80,63,58,45,78,2,83
13:15:08,85,27,7,15,77,15,4
13:15:08,43,83,87,76,8,41,32
13:15:08,1,26,55,53,61,85,95
13:15:09,57,45,88,5,36,74,10
13:15:09,11,94,66,84,77,5,92
13:15:09,72,44,0,82,74,64,66
13:15:09,69,84,70,21,48,46,97
13:15:09,41,47,55,30,30,81,46
13:15:09,72,53,78,79,57,69,28
13:15:09,40,36,69,38,57,87,40
13:15:09,98,29,25,81,81,85,60
13:15:10,1,17,65,69,47,31,32
13:15:10,33,50,58,49,82,40,85
13:15:10,68,65,10,58,52,34,18
13:15:10,27,57,71,68,63,52,97
13:15:10,24,3,63,69,13,26,49
13:15:10,71,40,62,87,96,89,6
13:15:10,85,64,18,65,27,82,80
13:15:10,4,78,19,34,27,99,79
13:15:11,7,47,50,84,2,87,82
13:15:11,43,67,84,94,96,54,59
13:15:11,88,42,96,18,28,28,17
13:15:11,95,7,70,49,32,49,50
13:15:11,50,20,24,0,31,27,38
13:15:11,3,83,94,34,59,90,65
13:15:11,54,51,98,28,89,42,10
13:15:11,28,12,27,66,99,33,34
13:15:11,41,18,53,3,99,9,26
13:15:12,95,2,20,23,59,100,75
13:15:12,56,7,83,58,84,14,11
13:15:12,9,72,29,86,23,10,87
13:15:12,32,4,29,36,87,27,28
13:15:12,24,70,86,93,27,74,28
13:15:12,15,30,16,84,66,49,83
13:15:12,91,77,12,9,60,32,82
13:15:12,91,84,38,77,51,34,1
13:15:12,1,64,45,49,22,34,18
13:15:13,15,3,1,18,0,30,52
13:15:13,27,96,74,21,78,12,100
13:15:13,8,60,17,79,58,30,73
13:15:13,57,100,77,22,74,58,41
13:15:13,3,28,75,88,41,1,34
13:15:13,48,25,92,70,98,48,63
13:15:13,91,73,53,13,28,39,78
13:15:13,45,56,52,39,35,2,75
13:15:13,81,16,94,87,23,89,3
13:15:14,28,78,97,4,92,80,3
13:15:14,60,50,0,73,14,62,68
13:15:14,35,60,85,17,81,49,43
13:15:14,79,19,68,32,56,20,19
13:15:14,26,99,60,35,74,37,92
13:15:14,92,51,5,33,31,90,16
13:15:14,37,95,31,11,85,55,37
13:15:14,85,10,73,83,64,69,74
13:15:14,68,17,23,21,74,95,66
13:15:15,19,65,52,24,24,99,14
13:15:15,72,83,94,46,26,43,12
13:15:15,10,30,30,58,60,79,66
13:15:15,75,92,24,50,26,49,20
13:15:15,90,70,28,100,11,73,44
13:15:15,58,85,62,34,28,74,70
13:15:15,39,24,88,32,82,90,61
13:15:15,11,49,22,63,3,14,56
13:15:16,93,60,84,78,92,25,33
13:15:16,17,53,13,20,23,37,90
13:15:16,3,46,14,85,78,36,51
13:15:16,61,32,76,88,1,12,71
13:15:16,90,5,86,46,30,61,61
13:15:16,21,37,73,49,80,38,11
13:15:16,12,55,100,86,4,68,100
13:15:16,66,31,53,34,71,65,74
13:15:16,9,81,14,38,49,66,40
13:15:17,20,48,5,94,64,0,17
13:15:17,96,81,40,23,38,94,52
13:15:17,4,39,7,90,35,20,12
13:15:17,60,90,13,81,35,39,42
13:15:17,92,95,49,29,55,90,100
13:15:17,57,11,82,5,0,7,77
13:15:17,81,7,53,31,21,0,17
13:15:17,100,20,56,22,70,31,91
13:15:17,7,36,19,5,94,90,72
13:15:18,40,32,30,38,75,60,83
13:15:18,86,28,80,69,39,42,65
13:15:18,62,82,77,34,95,47,23
13:15:18,79,13,97,46,48,9,58
13:15:18,40,6,38,75,15,12,71
13:15:18,2,47,72,17,86,63,29
13:15:18,47,78,75,43,36,79,53
13:15:18,9,36,45,48,56,73,16
13:15:19,81,56,29,1,35,5,19
13:15:19,67,60,27,49,91,38,63
13:15:19,93,24,81,60,83,43,29
13:15:19,33,30,25,1,99,78,53
13:15:19,0,97,26,60,5,21,43
13:15:19,32,47,29,6,80,9,53
13:15:20,97,34,47,50,12,29,43
13:15:20,95,74,38,91,72,71,92
13:15:20,70,4,31,68,94,6,84
13:15:20,19,67,83,55,45,67,22
13:15:20,10,60,66,84,15,86,81
13:15:20,65,33,3,51,70,33,71
13:15:20,69,35,90,71,71,36,2
13:15:20,4,42,28,30,52,11,86
13:15:20,53,80,38,82,51,97,68
13:15:21,68,45,17,33,72,74,2
13:15:21,26,33,0,39,44,36,51
13:15:21,29,24,85,87,82,61,22
13:15:21,81,73,68,78,63,90,26
13:15:21,30,46,30,32,4,61,14
13:15:21,42,54,100,98,35,28,70
13:15:21,90,23,79,91,36,23,77
13:15:21,67,73,92,62,15,43,81
13:15:21,32,1,35,21,23,7,11
13:15:22,12,25,11,31,56,59,5
13:15:22,55,52,72,100,79,68,29
13:15:22,28,90,44,100,12,2,13
13:15:22,55,56,66,0,30,33,22
13:15:22,42,79,70,31,79,98,62
13:15:22,40,34,58,38,15,47,100
13:15:22,76,27,1,17,16,16,83
13:15:22,96,30,84,84,53,82,98
13:15:23,93,39,20,41,54,74,80
13:15:23,83,44,12,64,88,13,25
13:15:23,40,43,38,69,17,37,70
13:15:23,79,36,64,83,90,34,37
13:15:23,11,85,31,49,38,22,100
13:15:23,60,56,16,57,13,53,67
13:15:23,18,46,76,31,90,81,31
13:15:23,6,96,40,36,47,25,31
13:15:23,6,38,19,71,68,61,17
13:15:24,10,96,2,36,72,71,6
13:15:24,51,10,8,86,51,74,33
13:15:24,40,19,2,46,44,13,54
13:15:24,97,100,68,61,86,6,28
13:15:24,96,44,7,0,59,70,15
13:15:24,42,29,26,53,98,3,56
13:15:24,61,15,43,37,94,16,76
13:15:24,15,46,54,24,23,11,40
13:15:25,64,34,49,36,14,4,54
13:15:25,62,59,59,81,60,25,89
13:15:25,96,97,64,13,90,2,78
13:15:25,16,5,62,86,36,97,43
13:15:25,53,66,13,2,64,57,27
13:15:25,91,90,94,56,60,13,53
13:15:25,71,56,5,33,23,72,87
13:15:25,86,56,56,94,2,41,49
13:15:25,62,25,12,61,20,84,0
13:15:26,99,22,16,20,7,10,85
13:15:26,44,53,69,3,35,97,90
13:15:26,90,99,3,83,75,87,72
13:15:26,89,1,75,83,91,67,55
13:15:26,56,21,23,7,76,33,21
13:15:26,77,93,9,0,36,98,7
13:15:26,57,93,2,48,25,83,67
